Institution,Year,Sentence_Cleaned,Sentence_Number
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"Patents or licensing agreements resulting from research carried on by a student in fulfillment of course requirements or other requirements for a degree or in connection with a formal training program including the preparation of a thesis or dissertation, shall be construed as making use of College resources and shall be subject to the provisions of Section A above.",13
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"Patents or licensing agreements resulting from inventions and discoveries made by members of the faculty, the technical staff, or by students in connection with government-sponsored research contracts, grants, fellowships, or other such arrangements, shall be controlled by the terms of those arrangements.",14
120s_AlbertEinsteinYeshiva_IPPolicy,1985,Faculty or staff members accepting government-sponsored research shall execute such agreements as will enable the College to meet its obligations to the sponsoring agencies.,15
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"Since the College carries on research for the purposes of extending medical knowledge and educating students, it accepts research grants or contracts from non-government sources with these purposes primarily in view.",16
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"If inventions result from such research grants or contracts, the College and the Inventor will handle these inventions in accordance with the terms of Section A above, unless the terms of the grant or contract pertaining to the above research are in conflict with Section A, in which case the terms of the grant or contract shall govern.",17
120s_AlbertEinsteinYeshiva_IPPolicy,1985,Management of Patents The College shall have the responsibility for the management of patents and licensing.,19
120s_AlbertEinsteinYeshiva_IPPolicy,1985,All determination and action concerning the management of patents and licensing agreements shall remain with the College.,20
120s_AlbertEinsteinYeshiva_IPPolicy,1985,Licenses for commercial development of patents shall be sought to ensure that useful inventions shall be made available in products or services beneficial to the public at reasonable prices.,21
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"In cases involving substantial developmental expenditures by the licensee, or for other special reasons, an exclusive license may be given, subject to the terms of an applicable grant or contract.",22
120s_AlbertEinsteinYeshiva_IPPolicy,1985,All such licensing agreements shall be negotiated by the Office of Industrial Liaison of the College and approved and executed by the appropriate officer of the University.,23
120s_AlbertEinsteinYeshiva_IPPolicy,1985,Distribution of Income Income shall mean all funds derived by the College from an invention or any licensed product or technology.,24
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"If income is received from the sale or licensing of patent rights derived from contracts between a third party and the College, the College, its agents, and/or any outside agencies will pay and reward the Inventor within 90 days of receipt of funds by the College in accordance with the provisions below.",25
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"After deduction by the College of direct assignable expenses incurred (including but not limited to specialized attorney's fees), which shall be determined in the College's sole, but reasonable discretion, the net income will be distributed in the following manner: one-third will be allocated to the Inventor or his or her estate and/or heirs.",26
120s_AlbertEinsteinYeshiva_IPPolicy,1985,All payments due an Inventor under this policy will be transmitted via a separate payment outside of the payroll system.,27
120s_AlbertEinsteinYeshiva_IPPolicy,1985,Fringe benefits will not therefore be applicable to such payments; they will however be reported annually to the individual and to the Internal Revenue Service on Form 1099 or on such other forms as may from time to time be required by the Internal Revenue Service.,28
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"One-third will be allocated to the Inventor's department for support of the Inventor's academic/research pursuits or, with the consent of the Inventor, for other academic/research programs of the Inventor's department.",29
120s_AlbertEinsteinYeshiva_IPPolicy,1985,Such income will be considered incremental funding for the department.,30
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"In the event that an Inventor leaves the College, the disposition of such income will be determined by the College administration.",31
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"The departmental allocation as described above, and the indirect costs to be assessed on this portion of the distribution are as follows: the first $30,000 of cumulative income will be free of indirect costs, the second $30,000 will be subject to indirect costs at one-half the prevailing institutional rate, and cumulative income in excess of $60,000 will be subject to indirect costs at the prevailing institutional rate.",32
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"One-third will be allocated to the unrestricted funds of the College to be used by the College in the pursuit of its education, research, and clinical missions.",33
120s_AlbertEinsteinYeshiva_IPPolicy,1985,Exception to the method of income distribution described above will be made in the case of sponsored support if the terms of the agreement between the College and the sponsor do not permit such a distribution.,34
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"In that event, the terms of the agreement between the College and the sponsor will govern.",35
120s_AlbertEinsteinYeshiva_IPPolicy,1985,This exception will apply to funding from both governmental and non-governmental sources.,36
120s_AlbertEinsteinYeshiva_IPPolicy,1985,Publication The right to publish the results of sponsored research where patents may be involved shall be subject to the following conditions: the College shall not bar or prohibit publication of disclosures and inventions on which patent applications have been filed.,37
120s_AlbertEinsteinYeshiva_IPPolicy,1985,An Inventor has the obligation to file an invention disclosure statement with the College as soon as it is possible to do so simultaneous with or prior to the submission of a paper for publication disclosing the invention.,38
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"In order to obtain protection for foreign patent rights, which are lost upon publication or public disclosure prior to filing a patent application in the United States, the Inventor shall disclose his invention to the College through its Committee on Patents a minimum of 60 days in advance of printed or oral disclosure, so that an application for a patent may be filed prior to public disclosure.",39
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"The College will, if requested, supply to a sponsor a copy of the proposed publication prior to publication.",40
120s_AlbertEinsteinYeshiva_IPPolicy,1985,Committee on Patents The Dean of the College of Medicine will appoint a Committee on Patents and such other committees as are deemed appropriate to implement the College?€?s patent and licensing agreement policies.,41
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"Among the Committee's responsibilities will be the following: to recommend to the Dean which inventions should be processed in accordance with the applicable Sections of this Policy on Patents and Licensing Agreements, and which the Inventor should be permitted to deal with as he or she deems appropriate.",42
120s_AlbertEinsteinYeshiva_IPPolicy,1985,Recommendations to the Dean shall be made by the Committee within 90 days after an invention is brought to the Committee's notice.,43
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"To determine, when necessary, whether a given invention by a faculty or technical staff member or a student resulted from research carried out in connection with project(s) supported in whole or in part by College resources, or whether such invention was unrelated to College activities and resources.",44
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"To make general recommendations regarding proposals to patent, or proposals which may lead to patenting of inventions or discoveries related to the health field.",45
120s_AlbertEinsteinYeshiva_IPPolicy,1985,To make recommendations in regard to patents requested by non-government sources.,46
120s_AlbertEinsteinYeshiva_IPPolicy,1985,To act in an advisory capacity to the Dean with regard to patents or licensing agreements assigned to the College or in which the College otherwise has a claim or interest.,47
120s_AlbertEinsteinYeshiva_IPPolicy,1985,To assist the Dean to resolve disputes arising on patent and licensing matters in accordance with this Policy on Patents and Licensing Agreements.,48
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"A form of agreement with the College shall be signed and entered into by all faculty, students, and staff acknowledging that such personnel have received and read a copy of this Official Policy on Patents and Licensing Agreements and agree to abide thereby, and, further, that such personnel agree to disclose in writing promptly to the College any invention or discovery made by such personnel and to assign to the College the entire right, title, and interest in and thereto as required and defined in the Policy on Patents and Licensing Agreements.",50
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"Where the College Declines to Patent, upon disclosure of an invention to the College, it will be the responsibility of the Dean to determine if the College declines to pursue a patent.",51
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"The Dean shall notify, in writing, the Inventor of this decision within 90 days of disclosure.",52
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"If the Dean declines pursuit of a patent, then the opportunity to pursue a patent reverts to the Inventor.",53
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"If at any time during the patent application process, the College decides to discontinue pursuit of the application, the Dean shall notify, in writing, the Inventor within 15 days of this decision.",54
120s_AlbertEinsteinYeshiva_IPPolicy,1985,The opportunity to pursue a patent shall then revert to the Inventor.,55
120s_AlbertEinsteinYeshiva_IPPolicy,1985,All information held by the College pertinent to the patent application will be made available to the Inventor.,56
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"If income is derived from a patent declined by the College, it will be distributed as follows: after reimbursement of the Inventor and then the College of direct assignable expenses incurred, the net cumulative income will be distributed in the following manner: the first $15,000 will be allocated exclusively to the Inventor or his or her estate and/or heirs, two-thirds of the additional income will be allocated to the Inventor or his or her estate and/or heirs, and the remaining one-third of income will be allocated to the College.",57
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"Management of Licenses, management of all licensing agreements for products, processes, and technology derived from discoveries made in the College, whether or not they are based upon patents, remains with the College.",58
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"The cumulative proceeds will follow this formula: for income after reimbursement of costs paid or incurred in connection net less than $90,000, indirect costs, College proceeds, and net academic proceeds, Inventor proceeds will be distributed according to the net; for $90,000 less than net less than $180,000, College proceeds, Inventor proceeds, indirect costs, and net academic proceeds; for net greater than $180,000, College proceeds, Inventor proceeds, indirect costs, and net academic proceeds.",59
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"The following table shows the distribution of cumulative net income according to Section VI.B(b) assuming a prevailing institutional rate of 0.89 percent: NET 30,000, 60,000, 90,000, 120,000, 150,000, 180,000, 210,000, 240,000, 270,000; CUMULATIVE NET PROCEEDS: INVENTOR 10,000, 20,000, 30,000, 40,000, 50,000, 60,000, 70,000, 80,000, 90,000; NET-ACADEMIC 10,000, 20,000, 30,000, 36,920, 43,840, 50,761, 56,052, 61,343, 66,634; INDIRECT 3,079, 6,159, 9,238, 13,947, 18,656, 23,365; COLLEGE 10,000, 20,000, 30,000, 40,000, 50,000, 60,000, 70,000, 80,000, 90,000.",60
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Albert Einstein College of Medicine, Inc. Official Policy on Patents and Licensing Agreements Table of Contents General Policy, Disclosure of Invention to Einstein, Ownership of Patents and Intellectual Property, Management of Patents, Licenses, Distribution of Income, Publication, Committee on Patents, Agreement with Einstein, Where Einstein Declines to Patent, Management of Licenses, Effective Date.",1
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"General Policy: The Albert Einstein College of Medicine, Inc. (hereinafter referred to as ""Einstein"") encourages and supports research relating to the advancement of medical knowledge and the publication and the use of the results of such research.",2
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Einstein recognizes that research conducted by its faculty, technical staff, and students may lead to inventions and discoveries by inventor(s) (hereinafter referred to as ""Inventor"") which should be patented or licensed for one or more of the following reasons: to serve the public interest, to comply with the requirements of sponsored research grants, fellowship awards, and contracts for research, to promote the development of useful drugs, processes, and devices which would not be developed without patent protection, to encourage invention and ensure rewards for the Inventor as herein provided, and to support facilities and the research and education programs of Einstein by means of a share of income derived from the commercial licensing of inventions and patents.",3
120s_AlbertEinsteinYeshiva_IPPolicy,2015,The Einstein Patent Policy is intended to be consistent with these principles and purposes and not to fetter scientific endeavor or inhibit pursuit of further related research.,4
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"The provisions relating to patents and patent royalties shall whenever used in this Patent Policy, whether specifically mentioned or not, also apply to the commercial licensing and the royalties obtained therefrom for inventions which are not patented but which have commercial value or special technology or special art.",5
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Disclosure of Invention to Einstein: Faculty, staff, and all students and visiting faculty are required to report to the Dean of Einstein and/or the Committee on Patents, all inventions resulting from research supported entirely or partly by Einstein resources, as soon as possible after conception or first actual reduction to practice.",6
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Such reports, submitted using the Einstein Invention Disclosure Form, shall be made sufficiently descriptive to permit the invention to be understood and evaluated for possible filing of a patent application or the development of a commercial licensing agreement.",7
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"In the case of supported research, the Committee on Patents must be advised of any invention disclosure requirements of the granting or sponsoring agency.",8
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"It will be the responsibility of the Dean of Einstein, with the advice of the Committee on Patents and/or the Office of Biotechnology, to determine if Einstein is interested in pursuing a patent for any invention disclosure.",9
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Until Einstein declines to patent, the following shall apply: Ownership of Patents and Intellectual Property: Patent rights, copyrights, computer programs, software, databases, testing procedures, tangible research materials, and all other intellectual property, whether patentable or not, (hereinafter collectively referred to as ?€?Intellectual Property?€?) resulting from research carried on by faculty members, technical staff members, or students and supported entirely or partly by Einstein resources are hereby assigned to and owned by Einstein.",10
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Einstein shall pay to the Inventor a fixed proportion of the financial returns from the licensing of such Intellectual Property in accordance with the provisions of Section VI hereof.,11
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Intellectual Property resulting from research carried on by a student in fulfillment of course requirements or other requirements for a degree or in connection with a formal training program including the preparation of a thesis or dissertation, shall be construed as making use of Einstein resources and shall be subject to the provisions of Sub-Section A above.",12
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Ownership of Intellectual Property resulting from research performed by a visiting faculty member and supported entirely or partly by Einstein resources shall be determined on a case-by-case basis.,13
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Intellectual Property resulting from inventions and discoveries made by members of the faculty, the technical staff, or by students in connection with government-sponsored research contracts, grants, fellowships, or other such arrangements, shall be controlled by the terms of those arrangements.",14
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Faculty or staff members accepting government-sponsored research shall execute such agreements as will enable Einstein to meet its obligations to the sponsoring agencies.,15
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Since Einstein carries on research for the purpose of extending medical knowledge and educating students, it accepts research grants or contracts from non-government sources with these purposes primarily in view.",16
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"If Intellectual Property results from such research grants or contracts, such Intellectual Property shall be subject to the terms of Sub-Section A above, unless the terms of the grant or contract pertaining to the above research are in conflict with Sub-Section A, in which case the terms of the grant or contract shall govern.",17
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Copyrightable works that are not within the scope of employment and are not created using Einstein resources, such as scholarly works and books, shall be owned by the author.",18
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Management of Patents: Einstein shall have the responsibility for the management of patent applications and patents.,19
120s_AlbertEinsteinYeshiva_IPPolicy,2015,All determinations and actions concerning the management of patent applications and patents shall remain with Einstein.,20
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Licenses: Licenses for commercial development of Intellectual Property shall be sought to ensure that useful inventions shall be made available in products or services beneficial to the public under reasonable terms.,21
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"In cases involving substantial developmental expenditures by a licensee, or for other special reasons, an exclusive license may be given, subject to the terms of any applicable grant or contract.",22
120s_AlbertEinsteinYeshiva_IPPolicy,2015,All such licensing agreements shall be negotiated by Einstein?€?s Office of Biotechnology and approved and executed by an appropriate officer of Einstein.,23
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Distribution of Income: Income shall mean all consideration (e.g., monetary, non-monetary, and equity) derived by Einstein from Intellectual Property.",24
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"If income is received from the licensing by Einstein of Intellectual Property to a third party, Einstein will pay and reward the Inventor within 90 days of receipt of such income by Einstein in accordance with the provisions below.",25
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Einstein will first deduct all direct assignable expenses incurred in connection with the filing, prosecution, and maintenance of any relevant patents and the negotiation of the contract for the licensing of the Intellectual Property (including but not limited to specialized attorney's fees), which expenses shall be determined in Einstein?€?s sole, but reasonable discretion.",26
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"After deduction of direct assignable expenses, fifteen percent (15%) of the remaining income will be allocated to the Office of Biotechnology to defray the operating costs of the Office.",27
120s_AlbertEinsteinYeshiva_IPPolicy,2015,The remaining net income will be distributed in the following manner: one-third will be allocated to the Inventor or his or her estate and/or heirs.,28
120s_AlbertEinsteinYeshiva_IPPolicy,2015,All payments due an Inventor under this policy will be transmitted via a separate payment outside of the payroll system.,29
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Fringe benefits will not therefore be applicable to such payments; however, such payments will be reported annually to the individual and to the Internal Revenue Service on Form 1099 or on such other forms as may from time to time be required by the Internal Revenue Service.",30
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"In the event that an Inventor leaves Einstein, the Inventor shall be responsible for providing forwarding addresses to Einstein.",31
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"One-third will be allocated to a research account maintained by Einstein on behalf of any Inventor who is an Einstein employee and who is a principal investigator with an established research program, as determined by the Office of the Dean, for support of the Inventor's academic/research pursuits.",32
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Such income will be considered incremental funding for the Inventor.,33
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"In the event that an Inventor leaves Einstein, the research account will revert to Einstein.",34
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"The Inventor?€?s research allocation as described above, and the indirect costs to be assessed on this portion of the distribution for each license are as follows: the first $30,000 of cumulative income will be free of indirect costs, the second $30,000 will be subject to indirect costs at one-half the prevailing institutional rate, and cumulative income in excess of $60,000 will be subject to indirect costs at the prevailing institutional rate.",35
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"One-third will be allocated to the unrestricted funds of Einstein to be used by Einstein in the pursuit of its education, research, and clinical missions.",36
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Exception to the method of income distribution described above will be made in the case of Intellectual Property resulting from sponsored research if the terms of the agreement between Einstein and the sponsor do not permit such a distribution.,37
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"In that event, the terms of the agreement between Einstein and the sponsor will govern.",38
120s_AlbertEinsteinYeshiva_IPPolicy,2015,This exception will apply to funding from both governmental and non-governmental sources.,39
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"If there is more than one Inventor of Intellectual Property, then the Inventors shall meet and decide among themselves their respective shares of any income to be distributed to the Inventors pursuant to Sub-Section B above.",40
120s_AlbertEinsteinYeshiva_IPPolicy,2015,The Inventors shall then advise the Office of Biotechnology of their agreement in a written statement signed by all of the Inventors.,41
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"In case of a dispute among the Inventors regarding their respective shares, the Dean of Einstein shall resolve such dispute.",42
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Mechanisms of dispute resolution may include, but are not limited to, mediation, arbitration, or other services performed by the Committee on Patents.",43
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Any recommendations or decisions made as a result of mediation, arbitration, or by the Committee on Patents will be subject to review and approval by the Dean of Einstein, and the Dean?€?s decision shall be final.",44
120s_AlbertEinsteinYeshiva_IPPolicy,2015,All expenses incurred by Einstein in connection with resolving the dispute will be deducted as an additional direct assignable expense prior to income distribution.,45
120s_AlbertEinsteinYeshiva_IPPolicy,2015,No income shall be distributed to the Inventors until an agreement on the Inventors' respective shares is submitted to the Office of Biotechnology or until any dispute between the Inventors regarding their respective shares is resolved.,46
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Any equity that Einstein receives as consideration under a license agreement will be held and managed by Einstein.,47
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Einstein shall liquidate such equity by sale in the public market upon the first available liquidity event.,48
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Once the equity is liquidated, the proceeds will be distributed as cash according to the method in Sub-Section B above.",49
120s_AlbertEinsteinYeshiva_IPPolicy,2015,It is not the intent of Einstein to hold equity for the purposes of maximizing profits.,50
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"This Distribution of Income section shall become effective as of the date the revised Policy on Patents and Licensing Agreements is adopted by Einstein and shall apply both prospectively and retroactively; however, income resulting from existing licensing agreements for Intellectual Property entered into before adoption of this revised Policy on Patents and Licensing Agreements shall not be subject to the fifteen percent (15%) administrative fee.",51
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Publication The right to publish the results of sponsored research where Intellectual Property may be involved shall be subject to the following conditions: Einstein shall not bar or prohibit publication of disclosures and inventions on which patent applications have been filed.,52
120s_AlbertEinsteinYeshiva_IPPolicy,2015,An Inventor has the obligation to file an invention disclosure statement with Einstein as soon as it is possible to do so simultaneous with or prior to the submission of a paper for publication disclosing the Intellectual Property.,53
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"In all events, the Inventor shall disclose his invention to Einstein a minimum of 90 days in advance of any printed or oral public disclosure, so that an application for a patent may be prepared and filed prior to any such public disclosure.",54
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Einstein will, if requested or required by agreement, supply to a sponsor a copy of the proposed publication prior to publication.",55
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Committee on Patents The Dean of Einstein will appoint a Committee on Patents and such other committees as are deemed appropriate to implement Einstein?€?s patent and licensing agreement policies.,56
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Among the Committee responsibilities will be the following: To recommend to the Dean which Intellectual Property should be processed in accordance with the applicable Sections of this Policy on Patents and Licensing Agreements, including Section X.",57
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Recommendations to the Dean shall be made by the Committee within 90 days after Intellectual Property is brought to the Committee's notice.,58
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"To determine, when necessary, whether Intellectual Property developed by a member of the faculty, technical staff, or a student resulted from research supported in whole or in part by Einstein resources, or whether such Intellectual Property was unrelated to Einstein activities and resources.",59
120s_AlbertEinsteinYeshiva_IPPolicy,2015,To make general recommendations regarding proposals to patent Intellectual Property as it relates to Einstein?€?s mission.,60
120s_AlbertEinsteinYeshiva_IPPolicy,2015,To act in an advisory capacity to the Dean with regard to patents assigned to Einstein or in which Einstein otherwise has a claim or interest.,61
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"To assist the Dean in resolving disputes arising from patent and licensing matters, including any disputes arising under Section VI, in accordance with this Policy on Patents and Licensing Agreements.",62
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Agreement with Einstein A form of agreement with Einstein shall be signed and entered into by all faculty, students, and research staff acknowledging that such personnel have received and read a copy of this Official Policy on Patents and Licensing Agreements and agree to abide thereby; and further, that such personnel agree to disclose in writing promptly to Einstein any Intellectual Property made by such personnel and to assign to Einstein the entire right, title, and interest in and thereto as required and defined in this Policy on Patents and Licensing Agreements.",63
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Where Einstein Declines to Patent Upon disclosure of Intellectual Property to Einstein, it will be the responsibility of the Dean to determine if Einstein will decline to pursue a patent.",64
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"The Dean shall notify, in writing, the Inventor of this decision within 90 days of disclosure.",65
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"If the Dean declines pursuit of a patent, then the option to pursue a patent reverts to the Inventor.",66
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"If at any time during the patent application process, Einstein decides to discontinue pursuit of the application, the Dean shall notify, in writing, the Inventor within 15 days of this decision.",67
120s_AlbertEinsteinYeshiva_IPPolicy,2015,The option to pursue a patent shall then revert to the Inventor.,68
120s_AlbertEinsteinYeshiva_IPPolicy,2015,All information held by Einstein pertinent to the patent application will be made available to the Inventor.,69
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"If Einstein decides to decline or discontinue pursuit of a patent on any Intellectual Property, Einstein shall retain ownership of such Intellectual Property and any patent or application thereon.",70
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"If the Inventor decides to pursue patent protection at his or her own expense, the Inventor shall: promptly notify Einstein in writing of his or her intent to pursue patent protection, obligate patent counsel to copy Einstein on all communications with the United States Patent and Trademark Office, and refer all third-party interest in the Intellectual Property directly to Einstein for licensing.",71
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"If income is derived from a patent declined by Einstein, it will be distributed as follows: After reimbursement to the Inventor and then Einstein of direct assignable expenses incurred, fifteen percent (15%) of the remaining income will be allocated to the Office of Biotechnology to defray the operating costs of the Office.",72
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"The remaining net income will be distributed in the following manner: The first $15,000 will be allocated exclusively to the Inventor or his or her estate and/or heirs, two-thirds of the additional income will be allocated to the Inventor or his or her estate and/or heirs, and the remaining one-third of income will be allocated to Einstein.",73
120s_AlbertEinsteinYeshiva_IPPolicy,2015,Management of Licenses Management of all licensing agreements for Intellectual Property owned by Einstein remains with Einstein.,74
120s_AlbertEinsteinYeshiva_IPPolicy,2015,"Effective Date This Policy on Patents and Licensing Agreements became effective on August 3, 2015.",75
120s_AlbertEinsteinYeshiva_IPPolicy,2015,This Policy may be further amended from time to time.,76
120s_AlbertEinsteinYeshiva_IPPolicy,2018,"24 August 2018 BIOT-POL-2018-001 ??2018 Albert Einstein College of Medicine Official Policy on Intellectual Property and Licensing Agreements Table of Contents Purpose, Scope, Policy, General Policy, Disclosure of Invention to Einstein, Ownership of Patents and Intellectual Property, Management of Patents, Licenses, Definitions, Effective Date, Policy Management and Responsibilities, Approved (or Revised) Official Policy on Intellectual Property and Licensing Agreements 24 August 2018 BIOT-POL-2018-001 ??2018 Albert Einstein College of Medicine Purpose The purpose of this Official Policy on Intellectual Property and Licensing Agreements (this ?€?Policy?€?) is to delineate the rights of Inventors (as defined below) and Albert Einstein College of Medicine (?€?Einstein?€? or ?€?College of Medicine?€?) with regard to Intellectual Property (as defined below) and specify how proceeds generated by Intellectual Property will be distributed.",1
120s_AlbertEinsteinYeshiva_IPPolicy,2018,"Scope This Policy applies to all Intellectual Property generated by faculty, staff, students, and visiting faculty of Einstein.",2
